CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;NTYPE;VISDIM1;VISDIM2;STAR;STAR_MAG;DIST_LY;MAG;N
1;NGC1934;;;;;5;21.83;-67;54.20;ISM;0;0;;10.5;-999;;N
1;IC11;;;;;0;20.00;56;36.00;ISM;0;0;;0;-999;;N
1;IC2128;;;;;5;23.02;-68;2.22;HII;0;0;;11.1;-999;;N
1;Ced46;;;;;5;28.10;34;27.00;ISM;0;0;;0;-999;;N
1;NGC6729;CrA;;;;19;1.77;-36;57.67;ISM;25;20;;0;400;;N
1;NAMEW5EAST;;;;;3;1.53;60;29.20;MoC;0;0;;0;-999;;N
1;NGC2045;;;;;5;45.00;12;54.00;ISM;0;0;;0;-999;;N
1;NGC3603;Car;;;;11;15.15;-61;16.28;I1pn;4;4;;9.1;22000;9.1;N
1;IC2897;;;;;11;31.30;11;33.00;ISM;0;0;;0;-999;;N
1;NGC896;Cas;;Herznebel (IC 1805);Heart Nebula (IC 1805);2;25.80;61;59.00;ISM;150;150;;0;1700;18.3;N
1;NGC2626;Vel;;;;8;35.53;-40;40.30;RNe;5;5;;0;3900;;N
1;NGC3351N;;;;;10;43.95;11;42.10;HII;0;0;;0;-999;;N
1;NGC1965;;;;;5;26.48;-68;48.40;ISM;0;0;;11.7;-999;;N
1;IC1318b;;;;;20;27.00;40;30.00;ISM;0;0;;0;-999;;N
1;IC142;;;;;1;33.92;30;45.37;HII;0;0;;14.2;-999;;N
1;IC1990;;;;;3;47.60;24;38.00;ISM;0;0;;0;-999;;N
1;NGC1722;;;;;4;51.85;-69;24.00;HII;0;0;;0;-999;;N
1;NGC2579;;;;;8;20.92;-36;13.38;HII;0;0;;7.5;-999;;N
1;IC419;;;;;5;31.00;30;9.00;ISM;0;0;;0;-999;;N
1;IC425;;;;;5;38.00;32;24.00;ISM;0;0;;0;-999;;N
